PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN MINAHASA MENURUT LAPANGAN USAHA 2012-2016;1
PRODUK DOMESTIK REGIONAL BRUTO PROVINSI SULAWESI UTARA MENURUT PENGELUARAN 2015-2019;Tidak ada
PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN MINAHASA MENURUT LAPANGAN USAHA  2013-2017;2
PRODUK DOMESTIK REGIONAL BRUTO (PDRB) KABUPATEN BOLAANG MONGONDOW MENURUT PENGELUARAN 2013-2017;1
PRODUK DOMESTIK REGIONAL BRUTO (PDRB) KABUPATEN BOLAANG MONGONDOW UTARA MENURUT PENGELUARAN 2013-2017;1
STATISTIK KESEJAHTERAAN RAKYAT KABUPATEN MINAHASA 2019;1
STATISTIK DAERAH TONDANO UTARA 2016;1
STATISTIK DAERAH KECAMATAN ESSANG 2016;Tidak ada
STATISTIK DAERAH TOMPASO BARAT 2016;1
STATISTIK DAERAH KECAMATAN KOTAMOBAGU SELATAN 2016;Tidak ada
STATISTIK DAERAH KECAMATAN KOTAMOBAGU SELATAN 2016;Tidak ada
STATISTIK DAERAH PINELENG 2016;1
STATISTIK DAERAH TONDANO SELATAN 2016;2
STATISTIK DAERAH TONDANO SELATAN 2016;Tidak ada
STATISTIK DAERAH KECAMATAN TOMOHON TENGAH 2016;Tidak ada
STATISTIK DAERAH TOMBARIRI TIMUR 2016;2
STATISTIK DAERAH TOMBARIRI TIMUR 2016;Tidak ada
STATISTIK DAERAH SONDER 2016;1
STATISTIK DAERAH LANGOWAN SELATAN 2016;1
STATISTIK DAERAH KECAMATAN TUTUYAN 2016;2
STATISTIK DAERAH KECAMATAN TABUKAN SELATAN TENGGARA 2016;1
STATISTIK DAERAH KECAMATAN TABUKAN SELATAN TENGAH 2016;1
STATISTIK DAERAH KECAMATAN RAINIS 2016;Tidak ada
STATISTIK DAERAH KECAMATAN NUANGAN 2016;2
STATISTIK DAERAH KECAMATAN TOMOHON SELATAN 2016;Tidak ada
STATISTIK DAERAH KABUPATEN BOLAANG MONGONDOW TIMUR 2017;1
STATISTIK DAERAH KECAMATAN TUTUYAN 2016;Tidak ada
STATISTIK DAERAH KECAMATAN NUANGAN 2016;Tidak ada
STATISTIK DAERAH KAKAS BARAT 2016;1
HARGA KONSUMEN BEBERAPA BARANG DAN JASA KELOMPOK PERUMAHAN 82 KOTA DI INDONESIA 2015;1
STATISTIK DAERAH KECAMATAN MALALAYANG 2016;1
HARGA KONSUMEN BEBERAPA BARANG DAN JASA KELOMPOK KESEHATAN, PENDIDIKAN, DAN TRANSPOR 82 KOTA DI INDONESIA 2015;1
STATISTIK DAERAH KECAMATAN DUMOGA UTARA 2016;1
STATISTIK KEUANGAN PEMERINTAH DAERAH KABUPATEN/KOTA 1998/1999 - 1999/2000;2
PETA INDEKS 2005 PROVINSI SULAWESI UTARA;Tidak ada
PERKEMBANGAN MINGGUAN HARGA ECERAN BEBERAPA JENIS BAHAN POKOK DI IBUKOTA PROVINSI SELURUH INDONESIA 2016 (JANUARI-JUNI);Tidak ada
PETA TEMATIK INFRASTRUKTUR PENDIDIKAN NEGERI DI INDONESIA 2011 (HASIL SENSUS INFRASTRUKTUR DESA) 2011;1
STATISTIK DAERAH PROVINSI KALIMANTAN SELATAN 2015;1
PETA TEMATIK INFRASTRUKTUR KESEHATAN DASAR DI INDONESIA 2011 (HASIL SENSUS INFRASTRUKTUR DESA) 2011;1
STATISTIK PERUMAHAN PROVINSI SULAWESI UTARA (HASIL PENDAFTARAN BANGUNAN SENSUS PENDUDUK 2000);1
INDEKS HARGA KONSUMEN (IHK) 82 KOTA DI INDONESIA (2012=100) 2015;2
STATISTIK KEUANGAN PEMERINTAHAN PROVINSI 2009-2012;Tidak ada
STATISTIK LEMBAGA KEUANGAN 2012;Tidak ada
STATISTIK KEUANGAN BADAN USAHA MILIK NEGARA (BUMN) DAN BADAN USAHA MILIK DAERAH (BUMD) 2012;Tidak ada
STATISTIK KEUANGAN PEMERINTAH PROVINSI 2012-2015;1
STATISTIK KEUANGAN PEMERINTAHAN DESA 2008;Tidak ada
DIAGRAM TIMBANG NILAI TUKAR PETANI (NTP) - SUBSEKTOR TANAMAN HORTIKULTURA 2012;2
STATISTIK KEUANGAN PEMERINTAHAN KABUPATEN/KOTA 2009-2010;Tidak ada
