STATISTIK INDONESIA 1975
STATISTIK INDONESIA 1976
STATISTIK INDONESIA 1979
STATISTIK INDONESIA 1979
STATISTIK BIOSKOP INDONESIA 1984
STATISTIK BIOSKOP INDONESIA 1988
KATALOG STATISTIK WANITA INDONESIA 1989
STATISTIK BIOSKOP INDONESIA 1987
STATISTIK INDONESIA 1984
STATISTIK INDONESIA 1985
STATISTIK INDONESIA 1989
STATISTIK INDONESIA 1991
STATISTIK INDONESIA 1993
STATISTIK INDONESIA 1995
STATISTIK INDONESIA 2009
BUKU SAKU STATISTIK INDONESIA 2002
STATISTIK INDONESIA 2000
STATISTIK INDONESIA 2002
STATISTIK INDONESIA 2003
BUKU SAKU STATISTIK INDONESIA 2008
STATISTIK INDONESIA 2014
STATISTIK INDONESIA 2018
BUKU SAKU STATISTIK INDONESIA 1997
BUKU SAKU STATISTIK INDONESIA 1992
BUKU SAKU STATISTIK INDONESIA 2009
KATALOG STATISTIK WANITA INDONESIA 1985
STATISTIK INDONESIA 2012
STATISTIK INDONESIA 2017
DIREKTORI PERUSAHAAN KEHUTANAN 2018
BUKU SAKU STATISTIK INDONESIA 1996
BUKU SAKU STATISTIK INDONESIA 2010
USAHA/PERUSAHAAN SKALA MENENGAH BESAR PREPRINTED 2015 BUKU II
PETA TEMATIK LOKASI PEMUSATAN KEGIATAN SOSIAL EKONOMI DI INDONESIA 2008 BUKU I
DIREKTORI PERUSAHAAN PERKEBUNAN KARET 2013
DIREKTORI PERUSAHAAN PERIKANAN, PELABUHAN PERIKANAN, DAN TEMPAT PELELANGAN IKAN 2013
PENGEMBANGAN METODE SAMPLING UNTUK MENDAPATKAN ESTIMASI INDIKATOR MDG TINGKAT KECAMATAN
DIREKTORI PERUSAHAAN AIR MINUM, LISTRIK, DAN GAS 2012
PENDUDUK INDONESIA HASIL SENSUS PENDUDUK 1990 SERI: L1
PENDUDUK INDONESIA HASIL SENSUS PENDUDUK 1990 SERI: L1
PENDUDUK HASIL REGISTRASI NUSA TENGGARA TIMUR 1999
PROFIL KEPENDUDUKAN PROVINSI RIAU 2000
PROFIL KEPENDUDUKAN PROVINSI SUMATERA BARAT 2000
PROFIL KEPENDUDUKAN PROVINSI ACEH 2000
KARAKTERISTIK PENDUDUK PROVINSI PAPUA 2000 HASIL SENSUS PENDUDUK 2000
KARAKTERISTIK PENDUDUK KALIMANTAN TENGAH HASIL SENSUS PENDUDUK 2000
KARAKTERISTIK PENDUDUK PROVINSI SULAWESI TENGAH 2000 HASIL SENSUS PENDUDUK 2000
PROFIL DAN ANALISA KEPENDUDUKAN PROVINSI KALIMANTAN SELATAN HASIL SENSUS PENDUDUK 2000
PROFIL DAN ANALISA KEPENDUDUKAN PROVINSI KALIMANTAN SELATAN HASIL SENSUS PENDUDUK 2000
KARAKTERISTIK PENDUDUK KALIMANTAN TIMUR 2000
REGISTRASI PENDUDUK PROVINSI JAWA TIMUR AKHIR 2000
DIREKTORI PERUSAHAAN AIR BERSIH, LISTRIK, DAN DISTRIBUSI GAS 2015
PENDUDUK SULAWESI SELATAN HASIL SENSUS PENDUDUK TAHUN 2000
PENDUDUK KABUPATEN GORONTALO HASIL SENSUS PENDUDUK 2000
PENDUDUK MALUKU UTARA HASIL SENSUS PENDUDUK TAHUN 2000
PROFIL KEPENDUDUKAN PROVINSI JAWA BARAT 2000
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA
PENDUDUK RIAU HASIL SENSUS PENDUDUK 1990
PENDUDUK SULAWESI TENGGARA HASIL SENSUS PENDUDUK TAHUN 2000
PENDUDUK JAWA TENGAH HASIL SENSUS PENDUDUK TAHUN 2000
PENDUDUK MALUKU UTARA HASIL SENSUS PENDUDUK TAHUN 2000
PENDUDUK BENGKULU HASIL SENSUS PENDUDUK TAHUN 2000
USAHA/PERUSAHAAN SKALA MENENGAH BESAR PREPRINTED 2015 BUKU II
PETA TEMATIK LOKASI PEMUSATAN KEGIATAN SOSIAL EKONOMI DI INDONESIA 2008 BUKU II
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2012
PETA STATISTIK INDONESIA 2014
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2014
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2015
DIREKTORI PERUSAHAAN AIR BERSIH, LISTRIK, DAN DISTRIBUSI GAS 2015
DIREKTORI PERUSAHAAN AIR BERSIH, LISTRIK, DAN DISTRIBUSI GAS 2014
PROYEKSI PENDUDUK PROVINSI LAMPUNG 2000-2005
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2014
DIREKTORI PERUSAHAAN PERKEBUNAN KELAPA SAWIT 2013
PENDUDUK KABUPATEN GORONTALO HASIL SENSUS PENDUDUK 2000
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA
DIREKTORI PERUSAHAAN PENYEDIAAN MAKAN MINUM, HASIL SENSUS EKONOMI 2006
STATISTIK STRUKTUR UPAH 2015
HASIL SENSUS PENDUDUK 2010 DATA AGREGAT PER KABUPATEN/KOTA PROVINSI SULAWESI UTARA
STATISTIK LINGKUNGAN HIDUP INDONESIA 1999
STATISTIK LINGKUNGAN HIDUP INDONESIA 1999
STATISTIK LINGKUNGAN HIDUP INDONESIA 2000
PENDATAAN SOSIAL EKONOMI PENDUDUK 2005
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA
